Name,AUID,Coords,Const,Type,Period,Mag
"Z UMa","000-BBS-553","11 56 30.22 +57 52 17.6","UMa","SRB","195.5","6.2 - 9.4 V"
"RY UMa","000-BBS-756","12 20 27.33 +61 18 34.7","UMa","SRA","310","6.49 - 7.94 V"
"ST UMa","000-BBS-211","11 27 50.38 +45 11 06.8","UMa","SRB","80.88","6.0 - 7.2 V"
"TV UMa","000-BBS-388","11 45 35.04 +35 53 39.6","UMa","SRB","53.74","6.72 - 7.45 V"
"VW UMa","000-BBR-892","10 59 01.80 +69 59 20.6","UMa","SRB","615","6.69 - 7.71 V"
"V UMi","000-BBT-813","13 38 41.07 +74 18 36.3","UMi","SRB","73","7.06 - 8.7 V"
"GO Vel","000-BFP-291","08 37 39.69 -40 26 08.1","Vel","SRB","520","6.56 - 7.80 V"
"MN Vel","000-BFP-355","08 38 00.91 -46 54 15.4","Vel","SRB","130:","7.32 - 8.80 V"
"RT Vir","000-BBT-436","13 02 37.98 +05 11 08.4","Vir","SRB","157.9","7.41 - 9.0 V"
"RW Vir","000-BCX-503","12 07 14.90 -06 45 56.0","Vir","SRB","175","6.71 - 7.50 V"
"SS Vir","000-BBS-817","12 25 14.40 +00 46 11.0","Vir","SRA","361","6.0 - 9.6 V"
"SW Vir","000-BBT-518","13 14 04.38 -02 48 25.2","Vir","SRB","146","6.2 - 8.0 V"
"BK Vir","000-BCX-512","12 30 21.01 +04 24 59.1","Vir","SRB","140","7.28 - 8.8 V"
"FP Vir","000-BBT-783","13 35 52.06 +08 17 34.2","Vir","SRB","67.8","6.55 - 7.69 V"
"FI Vul","000-BCX-572","20 48 51.18 +22 59 39.0","Vul","SR","--","6.97 - 8.30 V"
